127.0.0.1 - - [15/Mar/2023:09:42:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/img/gyeongbokgung.jpg HTTP/1.1" 200 617640
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/img/seoul_city.jpg HTTP/1.1" 200 3625815
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12910
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:58 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:44:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:06 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12910
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:06 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:07 +0900] "GET /dong/board/join HTTP/1.1" 200 16571
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:08 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:10 +0900] "GET /dong/board/login HTTP/1.1" 200 8634
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:10 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:11 +0900] "GET /dong/ HTTP/1.1" 200 8317
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:11 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:11 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:13 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12910
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:13 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:24 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12910
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:28 +0900] "GET /dong/board/list HTTP/1.1" 200 8092
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:28 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:30 +0900] "GET /dong/ HTTP/1.1" 200 8317
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:30 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:30 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12910
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:45:30 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/ HTTP/1.1" 200 8379
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/ HTTP/1.1" 200 8379
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/lib/animate/animate.min.css HTTP/1.1" 200 16953
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/css/style.css HTTP/1.1" 200 9289
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 164222
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/js/main.js HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/img/susulogow.png HTTP/1.1" 200 25153
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/img/gyeongbokgung.jpg HTTP/1.1" 200 617640
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/img/seoul_city.jpg HTTP/1.1" 200 3625815
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:19 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:35 +0900] "GET /dong/ HTTP/1.1" 200 8300
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:35 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:35 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:36 +0900] "GET /dong/ HTTP/1.1" 200 8300
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:36 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:42 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12893
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:42 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:58 +0900] "GET /dong/ HTTP/1.1" 200 8300
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:58 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:46:58 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:48:37 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12893
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:48:37 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:48:59 +0900] "GET /dong/board/service.html HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:02 +0900] "GET /dong/board/point HTTP/1.1" 200 15474
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:02 +0900] "GET /dong/resources/bootstrap/img/product2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:02 +0900] "GET /dong/resources/bootstrap/img/product1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:02 +0900] "GET /dong/resources/bootstrap/img/product3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:06 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12893
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:17 +0900] "GET /dong/board/T_twoSelect1 HTTP/1.1" 200 18128
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:17 +0900] "GET /dong/resources/bootstrap/img/k-img5.jpg HTTP/1.1" 200 350234
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:17 +0900] "GET /dong/resources/bootstrap/img/k-img6.jpg HTTP/1.1" 200 413084
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:17 +0900] "GET /dong/resources/bootstrap/img/k-img7.jpg HTTP/1.1" 200 512185
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:17 +0900] "GET /dong/resources/bootstrap/img/k-img8.jpg HTTP/1.1" 200 373644
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:31 +0900] "GET /dong/board/point HTTP/1.1" 200 15474
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:33 +0900] "GET /dong/board/T_List HTTP/1.1" 200 12893
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:35 +0900] "GET /dong/board/T_oneSelect1 HTTP/1.1" 200 18163
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:35 +0900] "GET /dong/resources/bootstrap/img/k-img2.jpg HTTP/1.1" 200 40938
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:35 +0900] "GET /dong/resources/bootstrap/img/k-img1.jpg HTTP/1.1" 200 435116
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:35 +0900] "GET /dong/resources/bootstrap/img/k-img3.jpg HTTP/1.1" 200 396735
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:35 +0900] "GET /dong/resources/bootstrap/img/k-img4.jpg HTTP/1.1" 200 294287
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:37 +0900] "GET /dong/board/T_oneSelect3 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:43 +0900] "GET /dong/ HTTP/1.1" 200 8300
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:43 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:43 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:50 +0900] "GET /dong/board/point HTTP/1.1" 200 15474
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:49:50 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:50:04 +0900] "GET /dong/board/list HTTP/1.1" 200 8092
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:50:04 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:52:13 +0900] "GET /dong/ HTTP/1.1" 200 8392
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:52:13 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:52:26 +0900] "GET /dong/ HTTP/1.1" 200 8392
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:52:26 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:52:37 +0900] "GET /dong/ HTTP/1.1" 200 8392
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:52:37 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:08 +0900] "GET /dong/ HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:08 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:21 +0900] "GET /dong/board/T_List HTTP/1.1" 200 13038
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:21 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:26 +0900] "GET /dong/board/login HTTP/1.1" 200 8634
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:26 +0900] "GET /dong/board/join HTTP/1.1" 200 16700
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:26 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:27 +0900] "GET /dong/board/login HTTP/1.1" 200 8634
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:27 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:28 +0900] "GET /dong/board/join HTTP/1.1" 200 16700
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:28 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:31 +0900] "GET /dong/ HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:31 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:35 +0900] "GET /dong/board/T_List HTTP/1.1" 200 13038
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:35 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:36 +0900] "GET /dong/board/service.html HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:38 +0900] "GET /dong/board/point HTTP/1.1" 200 15474
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:40 +0900] "GET /dong/board/list HTTP/1.1" 200 8092
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:53:40 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:34 +0900] "GET /dong/ HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:34 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:38 +0900] "GET /dong/ HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:38 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:38 +0900] "GET /dong/board/T_List HTTP/1.1" 200 13038
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:38 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:39 +0900] "GET /dong/ HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:39 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:39 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:39 +0900] "GET /dong/ HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:39 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:41 +0900] "GET /dong/board/login HTTP/1.1" 200 8634
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:41 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:41 +0900] "GET /dong/board/join HTTP/1.1" 200 16700
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:41 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:42 +0900] "GET /dong/ HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:42 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:48 +0900] "GET /dong/board/T_List HTTP/1.1" 200 13038
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:48 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:48 +0900] "GET /dong/ HTTP/1.1" 200 8445
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:48 +0900] "GET /dong/lib/wow/wow.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:48 +0900] "GET /dong/resources/bootstrap/img/carousel-1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:54:49 +0900] "GET /dong/ HTTP/1.1" 200 8445
